road;chainage;lrp;lat;lon;gap;type;name
N1;822;LRPSb;237027778;904504722;;CrossRoad;Intersection with Z1101
N1;4175;LRP004a;236938052;904805271;;SideRoad,Right;Road to Narayanganj(R111)
N1;7181;LRP007a;236979163;905092778;;CrossRoad;R110,Left to Demra, Right to Narayanganj
N1;8763;LRP009a;237060833;905215271;;SideRoad,Left;Road to Sylhet (N2)
N1;11936;LRP012c;236904163;90546583;;SideRoad,Right;Right to Syedpur (R113) left to Joydebpur N105)
N1;15935;LRP016a;236604167;905671104;;SideRoad,Right;Road to MinanbariZ1061)
N1;20044;LRP020a;236358608;905948052;;SideRoad,Left;Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066)
N1;30936;LRP031a;235590278;906559444;;SideRoad,Right;Road to Gazara (Z1063)
N1;38466;LRP038c;235314716;907172216;;SideRoad,Right;Road to Matlab (Z1062)
N1;45322;LRP046a;235307493;907816104;;SideRoad,Right;Z1402, road to Pennai
N1;45388;LRP046b;23530666;907821938;;SideRoad,Left;Z1053, Road to Homna
N1;47224;LRP047a;235306938;907924441;;SideRoad,Right;Z1044
N1;55477;LRP056c;235126667;90871416;;SideRoad,Left;Z1042, road to Bancharampur
N1;62278;LRP063a;235043333;909354719;;SideRoad,Left;Z1017, Road to Companiganj
N1;69616;LRP070a;234894441;910033056;;SideRoad,Left;Road to Debiduar (Z1008)
N1;69638;LRP070b;234893886;910034722;;SideRoad,Right;Road to Jhalam (Z1022)
N1;75589;LRP077a;234815271;910590278;;SideRoad,Left;Road to Khangsanagar (Z1219) left road to Barua Z1028 right
N1;81846;LRP084a;234789716;91118166;;SideRoad,Left;Road to Brahmanbaria(N102)
N1;85897;LRP088a;23459;91142333;;CrossRoad;Cross road Z1029
N1;87366;LRP089c;234469441;911481386;;CrossRoad;Cross Road with Z1052
N1;91583;LRP094a;234191382;911721938;;CrossRoad;Left to Comilla Right to Noakhali
N1;105879;LRP108c;233347219;91271166;;SideRoad,Right;Road to Harishchar (Z1046)
N1;119698;LRP122a;23221416;913137222;;SideRoad,Right;Road to Bangadda (Z1045)
N1;128009;LRP130a;231496941;913254993;;SideRoad,Right;Road to Nangolhat (Z1048)
N1;138869;LRP142a;230614722;913616667;;SideRoad,Right;Road to Karerhat (Z1031)
N1;140251;LRP143a;230479441;913651389;;CrossRoad;Z1031
N1;143034;LRP146a;230248327;913655278;;SideRoad,Right;Road to Biroli (Z1030)
N1;145409;LRP148a;230095556;913813604;;CrossRoad / KmPost;Intersection with N104 / Km post missing
N1;149289;LRP152a;229877774;9141;;SideRoad,Left;Road to Feni Town (Z1034)
N1;149585;LRP152b;229858886;914120556;;SideRoad,Right;Road to Sonagazi (Z1034)
N1;157685;LRP160a;229483608;914761382;;SideRoad,Left;Road to Mounshirhat (Z1081)
N1;161582;LRP164a;229439441;915108611;;SideRoad,Left;Road to Chhagalnaiya (Z1032)
N1;167683;LRP170b;228939997;915346941;;SideRoad,Left;Road to Karerhat (R151)
N1;181464;LRP184b;227771104;915713327;;SideRoad,Left;Road to Narayanhat (Z1021)
N1;194603;LRP198a;226733049;916280827;;SideRoad,Left;Road to Haidchokia (Z1086)
N1;206402;LRP209c;22580666;916799438;;SideRoad,Left;Road to Katirhat (Z1087)
N1;228406;LRP231a;223996108;917573333;;SideRoad,Right;Road to Biman Bandar (Z1016)
N1;229065;LRP232a;223937774;917588056;;SideRoad,Right;N111, Port Connecting Road
N1;247893;LRP251a;223108333;918570278;;SideRoad,Right / SideRoad,Right;Road to BFDC Fisharies (Z1804) /Start of Dohazari Road Division. / Road to BFDC Fisharies (Z1804) /Start of Dohazari Road Division.
N1;247923;LRP251b;223106111;918570833;;SideRoad,Left;Road to Balakkhati (Z1065)
N1;250445;LRP254a;222916663;918696382;;SideRoad,Right;Road to Arowana (Z1018)
N1;252956;LRP256a;223;918915552;;SideRoad,Right;Road to Kaliganj (Z1071)
N1;255726;LRP259b;223096944;9191575;;CrossRoad;Road to Kaliganj (Z1070)
N1;256809;LRP260c;223158889;919235827;;SideRoad,Left;Road to Kalurghat (N107)
N1;263744;LRP267b;22295333;919803049;;SideRoad,Left;Road to Boalkhali (Z1059)
N1;26407;LRP268a;222933608;919821104;;SideRoad,Left;Road to Haidgaon (Z1057)
N1;264237;LRP268c;22291833;919823327;;SideRoad,Right;Road to Anowara (R170)
N1;26541;LRP269c;222862497;919916941;;SideRoad,Right;Road to Chandnaisa(Z1039)
N1;274982;LRP278b;222131389;920304993;;SideRoad,Left;Road To Dhupchheri (Z1026)
N1;278013;LRP281a;221917219;920453608;;SideRoad,Right;Road to Barma (Z1036)
N1;289612;LRP293a;221021667;920740549;;SideRoad,Left;Road to Bandarban(N108)
N1;289974;LRP293c;220977497;920750271;;SideRoad,Right;Road to Satkaria (Z1019)
N1;297441;LRP301b;220449719;921078333;;SideRoad,Left;Road to Tonkabati (Z1013)
N1;307582;LRP312a;219720827;920657222;;SideRoad,Right;Road to Banskhali (R171)
N1;315728;LRP320a;219031667;920611667;;SideRoad,Left;Road to Lama(Z1007)
N1;316356;LRP321a;2.18965E+15;9.20611E+15;;SideRoad,Right;Road to Toitong (Z1124)
N1;323842;LRP328b;218322216;920689993;;SideRoad,Right;Road to Paharchaanda(Z1125)
N1;327188;LRP331a;218045278;92077166;;SideRoad,Right;Road to Paharchanda(Z1002)
N1;330874;LRP335c;217737216;920840552;;CrossRoad;Intersection with Z1126
N1;332066;LRP336c;217664722;920767771;;SideRoad,Right;Road to Tuabazar (Z1127)
N1;332877;LRP337a;217596389;920764993;;SideRoad,Right;Road to Badarkhali (R172)
N1;33731;LRP341b;217215549;920830827;;SideRoad,Left;Road to Alikadam(Z1005)
N1;343559;LRP348a;216688327;920759438;;SideRoad,Left;Road to Garzania (Z1130)
N1;350054;LRP354c;216150556;920667771;;SideRoad,Right;Z1131, Kutakhali-Maheshkhali
N1;370982;LRP376a;214494719;920995274;;SideRoad,Left;Z1001, Road to Naikkongchhari
N1;373475;LRP378c;214284993;920951941;;SideRoad,Left;Ramu old Section (N109)
N1;381481;LRP386c;214258604;92023166;;SideRoad,Right;N110,Link road-Cox' Bazar, (Labonir more)
N1;398205;LRP403c;21317666;920930274;;SideRoad,Left;Road to Ramu(Z1009)
N1;399214;LRP404a;213101667;920974997;;SideRoad,Left;Z1503, Maricha Dakbunglow Road
N1;408434;LRP413a;212447497;921389441;;SideRoad,Left;Z1503, Maricha Dukbanglow road
N1;416044;LRP420c;211977219;921705549;;SideRoad,Left;Z1504, Ukhia Gundum Road
N1;428908;LRP433e;211158333;921971386;;SideRoad,Right;Z1133 Road to Shaplapur
N2;2313;LRP003a;237249438;905134167;;SideRoad,Left;Road to Demra (R201)
N2;6076;LRP006a;237466386;905402774;;CrossRoad;Z1090 Left to Keyatpara,Right to Mahajanpur.
N2;11111;LRP011a;237848052;905650556;;SideRoad,Left;R202 to Rupganj
N2;11464;LRP012a;23785333;905685549;;CrossRoad;Intersection with N105
N2;11977;LRP012d;237856663;905705827;;SideRoad,Right;R203 to Ramchandri
N2;27356;LRP028a;238679993;90668166;;SideRoad,Left;Road to Shakerchar (Z2038)
N2;30225;LRP030b;238934163;906644167;;SideRoad,Left / KmPost;R301 to Ghorashal, Z2047 to Ghorashal / Sylhet 200 km
N2;33536;LRP034a;239099444;906875552;;SideRoad,Right;R210 to Narsingdi
N2;43097;LRP043b;239802216;907333886;;SideRoad,Left;R310 to Gazipur ,R211 to Shibpur
N2;43747;LRP044b;239827771;907424441;;CrossRoad;Z2033
N2;54606;LRP055a;240341386;908320827;;SideRoad,Left;Road to Belobo(Z2042)
N2;58926;LRP059b;240514167;908693327;;SideRoad,Right;Road to Rajpur (Z2041)
N2;63969;LRP064b;240545;909184716;;SideRoad,Left;Z2032 to Belabo
N2;70576;LRP071a;240553889;909828604;;SideRoad,Left;Road to Kishoreganj(R360)
N2;73533;LRP074b;240387219;910037778;;SideRoad,Right;Road to Nabinagar (Z2031)
N2;85823;LRP086a;240508333;911144444;;SideRoad,Right;Road to Mainamoti(N102)
N2;86413;LRP087a;240576944;911151389;;SideRoad,Left;Road to Nasimagar(R220)
N2;116294;LRP117b;241478608;913464441;;SideRoad,Right;Road to Chunarughat(N204)
N2;135082;LRP136a;242821382;914219716;;SideRoad,Left;R221
N2;141308;LRP142b;242676938;914768882;;SideRoad,Left / SideRoad,Right;R240 to Habiganj / N204 to Chunarughat
N2;145961;LRP146b;242947219;915100833;;SideRoad,Right;Road to Srimongal(N207)
N2;181657;LRP182c;245910552;916014167;;SideRoad,Left;Road to Nabiganj (R240)
N2;18577;LRP186d;246134167;916312493;;SideRoad,Left;Road to Raniganj (R241)
N2;190892;LRP191b;246264993;916774993;;SideRoad,Right;Road to Moulavo Bazar(N207)
N2;205083;LRP205b;247260827;917568889;;SideRoad,Right;Road to Balaganj (Z2022)
N2;215832;LRP216b;248107222;917920274;;SideRoad,Left;Road to Lamakazi (Z2016)
N2;224044;LRP224b;2486075;918460552;;SideRoad,Left;R283
N2;225373;LRP225b;248673049;918568056;;SideRoad,Right;Road to Balaganj (Z2013)
N2;227756;LRP228c;248776938;918752771;;SideRoad,Left / SideRoad,Right;N209 / N208 to Moulovibazar
N2;229888;LRP231b;248937497;91878416;;SideRoad,Left;Road to Keen Bridge(N206)
N2;237923;LRP239a;249163056;91949583;;SideRoad,Right;N210
N2;262122;LRP263a;250654444;921095833;;SideRoad,Right;Road to Kanaighat (Z2011)
N2;264882;LRP265c;250891386;921174993;;SideRoad,Left;Road to Gowainghat (Z2012)
